nodenumber,    x-coordinate,    y-coordinate,    z-coordinate
       332, 3.612835333E-02,-1.297449693E-03,-2.136966214E-03
       333, 4.580705240E-02,-1.298343297E-03,-2.136423253E-03
       334, 5.507900938E-02, 1.300984877E-03,-2.134815790E-03
       335,-1.208181772E-02, 1.304518897E-03,-2.132658148E-03
       336, 4.041391611E-02, 1.312256674E-03,-2.127905609E-03
       337, 3.700444475E-02, 1.315649133E-03,-2.125809900E-03
       338, 5.994462408E-03, 1.319424598E-03,-2.123468556E-03
       339, 3.749292716E-02,-1.324007520E-03,-2.120614052E-03
       340,-3.077246016E-03, 1.326322090E-03,-2.119167242E-03
       341, 1.440656558E-02,-1.074330416E-03,-2.117609605E-03
       342, 5.170553550E-02, 1.328785671E-03,-2.117623342E-03
       343, 2.437394811E-03, 1.336092828E-03,-2.113020513E-03
       344,-8.723090403E-03, 1.337078982E-03,-2.112396760E-03
       345, 4.553676769E-02, 1.342105796E-03,-2.109206514E-03
       346, 4.349494353E-02, 1.347013982E-03,-2.106075408E-03
       347, 5.410682876E-03,-1.352664083E-03,-2.102450933E-03
       348, 3.035181575E-02,-1.355061890E-03,-2.100906335E-03
       349, 1.264831983E-02,-1.355312183E-03,-2.100744750E-03
       350, 2.899999917E-02,-1.358142123E-03,-2.098916331E-03
       351,-4.512900021E-03, 1.358069363E-03,-2.098963363E-03
       352, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03
       353, 1.209566020E-03,-1.367985504E-03,-2.092514187E-03
       354, 5.292961746E-02,-1.370120444E-03,-2.091116970E-03
       355,-9.928603657E-03,-1.372108120E-03,-2.089813352E-03
       356, 3.432117030E-02, 1.380183385E-03,-2.084488748E-03
       357, 4.372853786E-02,-1.380587812E-03,-2.084220992E-03
       358, 8.678453974E-03, 1.380789792E-03,-2.084087348E-03
       359, 3.292581066E-02,-1.383853029E-03,-2.082054503E-03
       360, 1.007347833E-02,-1.384286094E-03,-2.081766492E-03
       361, 4.762113839E-02, 1.384455478E-03,-2.081653802E-03
       362, 3.565796465E-02, 1.396223903E-03,-2.073779004E-03
       363, 4.562546033E-03, 1.396445557E-03,-2.073629759E-03
       364, 7.341487799E-03, 1.397000509E-03,-2.073255833E-03
       365, 3.844354302E-02, 1.397308544E-03,-2.073048148E-03
       366,-6.209172308E-03,-1.403837232E-03,-2.068632515E-03
       367, 3.035275079E-02, 1.403942821E-03,-2.068561036E-03
       368, 1.264738943E-02, 1.404197654E-03,-2.068388043E-03
       369, 5.632073060E-02, 1.405863441E-03,-2.067256020E-03
       370, 2.899999917E-02, 1.407427364E-03,-2.066191752E-03
       371, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03
       372,-1.332089212E-02, 1.407935284E-03,-2.065845532E-03
       373, 5.122961476E-02,-1.409437857E-03,-2.064820845E-03
       374,-8.231155574E-03,-1.410529367E-03,-2.064075321E-03
       375, 3.410466015E-02,-1.412746264E-03,-2.062558662E-03
       376, 8.892787620E-03,-1.412921934E-03,-2.062438289E-03
